name,l_b,n_b
FOL_Axiomatic,4,13
FOL_Axiomatic,5,7
FOL_Axiomatic,6,6
FOL_Axiomatic,7,2
FOL_Axiomatic,8,2
FOL_Harrison,1,1704
FOL_Harrison,2,1242
FOL_Harrison,3,34
FOL_Harrison,4,28
FOL_Harrison,5,16
FOL_Harrison,6,14
FOL_Harrison,7,4
FOL_Harrison,8,3
FOL_Harrison,9,2
FOL_Harrison,10,2
FOL_Harrison,11,2
FOL_Seq_Calc1,1,177
FOL_Seq_Calc1,2,113
FOL_Seq_Calc1,3,14
FOL_Seq_Calc1,4,11
FOL_Seq_Calc1,5,7
FOL_Seq_Calc1,6,4
FOL_Seq_Calc1,7,2
FOL_Seq_Calc1,8,2
Factor_Algebraic_Polynomial,1,967
Factor_Algebraic_Polynomial,2,629
Factor_Algebraic_Polynomial,3,99
Factor_Algebraic_Polynomial,4,65
Factor_Algebraic_Polynomial,5,37
Factor_Algebraic_Polynomial,6,24
Factor_Algebraic_Polynomial,7,17
Factor_Algebraic_Polynomial,8,11
Factor_Algebraic_Polynomial,9,8
Factor_Algebraic_Polynomial,10,5
Factor_Algebraic_Polynomial,11,5
Factor_Algebraic_Polynomial,12,3
Factor_Algebraic_Polynomial,13,2
Factor_Algebraic_Polynomial,14,2
Factor_Algebraic_Polynomial,15,2
Factor_Algebraic_Polynomial,16,2
Factored_Transition_System_Bounding,1,1123
Factored_Transition_System_Bounding,2,667
Factored_Transition_System_Bounding,3,161
Factored_Transition_System_Bounding,4,103
Factored_Transition_System_Bounding,5,67
Factored_Transition_System_Bounding,6,34
Factored_Transition_System_Bounding,7,21
Factored_Transition_System_Bounding,8,15
Factored_Transition_System_Bounding,9,9
Factored_Transition_System_Bounding,10,6
Factored_Transition_System_Bounding,11,3
Falling_Factorial_Sum,1,35
Falling_Factorial_Sum,2,19
Falling_Factorial_Sum,3,3
Falling_Factorial_Sum,4,2
Farkas,1,1029
Farkas,2,673
Farkas,3,82
Farkas,4,46
Farkas,5,34
Farkas,6,25
Farkas,7,12
Farkas,8,7
Farkas,9,5
Farkas,10,4
Farkas,11,3
Farkas,12,3
Farkas,13,2
Farkas,14,2
FeatherweightJava,1,1581
FeatherweightJava,2,1044
FeatherweightJava,3,63
FeatherweightJava,4,44
FeatherweightJava,5,26
FeatherweightJava,6,19
FeatherweightJava,7,5
FeatherweightJava,8,3
FeatherweightJava,9,2
Featherweight_OCL,1,4873
Featherweight_OCL,2,3595
Featherweight_OCL,3,110
Featherweight_OCL,4,82
Featherweight_OCL,5,39
Featherweight_OCL,6,27
Featherweight_OCL,7,9
Featherweight_OCL,8,7
Featherweight_OCL,9,4
Featherweight_OCL,10,3
Featherweight_OCL,11,2
Fermat3_4,1,55
Fermat3_4,2,24
Fermat3_4,3,15
Fermat3_4,4,8
Fermat3_4,5,6
Fermat3_4,6,3
FileRefinement,1,247
FileRefinement,2,146
FileRefinement,3,12
FileRefinement,4,9
FileRefinement,5,4
FileRefinement,6,3
FileRefinement,7,2
FinFun,1,508
FinFun,2,340
FinFun,3,15
FinFun,4,11
FinFun,5,7
FinFun,6,4
FinFun,7,2
Finger-Trees,1,3021
Finger-Trees,2,2125
Finger-Trees,3,32
Finger-Trees,4,21
Finger-Trees,5,15
Finger-Trees,6,12
Finger-Trees,7,3
Finger-Trees,8,2
Finger-Trees,9,2
Finite-Map-Extras,1,36
Finite-Map-Extras,2,12
Finite-Map-Extras,3,7
Finite-Map-Extras,4,5
Finite-Map-Extras,5,4
Finite-Map-Extras,6,3
Finite-Map-Extras,7,2
Finite-Map-Extras,8,2
Finite_Automata_HF,1,607
Finite_Automata_HF,2,381
Finite_Automata_HF,3,14
Finite_Automata_HF,4,10
Finite_Automata_HF,5,6
Finite_Automata_HF,6,4
Finitely_Generated_Abelian_Groups,1,706
Finitely_Generated_Abelian_Groups,2,441
Finitely_Generated_Abelian_Groups,3,86
Finitely_Generated_Abelian_Groups,4,62
Finitely_Generated_Abelian_Groups,5,35
Finitely_Generated_Abelian_Groups,6,25
Finitely_Generated_Abelian_Groups,7,16
Finitely_Generated_Abelian_Groups,8,13
Finitely_Generated_Abelian_Groups,9,9
Finitely_Generated_Abelian_Groups,10,8
Finitely_Generated_Abelian_Groups,11,5
Finitely_Generated_Abelian_Groups,12,5
Finitely_Generated_Abelian_Groups,13,4
Finitely_Generated_Abelian_Groups,14,3
Finitely_Generated_Abelian_Groups,15,2
First_Order_Terms,1,1415
First_Order_Terms,2,1039
First_Order_Terms,3,28
First_Order_Terms,4,23
First_Order_Terms,5,14
First_Order_Terms,6,10
First_Order_Terms,7,5
First_Order_Terms,8,4
First_Order_Terms,9,3
First_Order_Terms,10,2
First_Order_Terms,11,2
First_Welfare_Theorem,1,322
First_Welfare_Theorem,2,181
First_Welfare_Theorem,3,41
First_Welfare_Theorem,4,30
First_Welfare_Theorem,5,14
First_Welfare_Theorem,6,9
First_Welfare_Theorem,7,4
First_Welfare_Theorem,8,3
First_Welfare_Theorem,9,2
First_Welfare_Theorem,10,2
Fishburn_Impossibility,1,894
Fishburn_Impossibility,2,591
Fishburn_Impossibility,3,69
Fishburn_Impossibility,4,53
Fishburn_Impossibility,5,30
Fishburn_Impossibility,6,24
Fishburn_Impossibility,7,7
Fishburn_Impossibility,8,5
Fishburn_Impossibility,9,3
Fishburn_Impossibility,10,3
Fishburn_Impossibility,11,2
Fisher_Yates,1,84
Fisher_Yates,2,52
Fisher_Yates,3,14
Fisher_Yates,4,11
Fisher_Yates,5,7
Fisher_Yates,6,3
Fisher_Yates,7,3
Fisher_Yates,8,2
Flow_Networks,1,1278
Flow_Networks,2,871
Flow_Networks,3,146
Flow_Networks,4,91
Flow_Networks,5,42
Flow_Networks,6,29
Flow_Networks,7,13
Flow_Networks,8,7
Flow_Networks,9,4
Flow_Networks,10,4
Flow_Networks,11,2
Floyd_Warshall,1,800
Floyd_Warshall,2,526
Floyd_Warshall,3,90
Floyd_Warshall,4,62
Floyd_Warshall,5,38
Floyd_Warshall,6,21
Floyd_Warshall,7,14
Floyd_Warshall,8,9
Floyd_Warshall,9,7
Floyd_Warshall,10,5
Floyd_Warshall,11,3
Floyd_Warshall,12,2
Floyd_Warshall,13,2
Flyspeck-Tame,1,2410
Flyspeck-Tame,2,1646
Flyspeck-Tame,3,215
Flyspeck-Tame,4,138
Flyspeck-Tame,5,76
Flyspeck-Tame,6,56
Flyspeck-Tame,7,27
Flyspeck-Tame,8,17
Flyspeck-Tame,9,13
Flyspeck-Tame,10,12
Flyspeck-Tame,11,9
Flyspeck-Tame,12,6
Flyspeck-Tame,13,5
Flyspeck-Tame,14,4
Flyspeck-Tame,15,3
Flyspeck-Tame,16,2
Flyspeck-Tame,17,2
Flyspeck-Tame,18,2
FocusStreamsCaseStudies,1,2963
FocusStreamsCaseStudies,2,1999
FocusStreamsCaseStudies,3,163
FocusStreamsCaseStudies,4,102
FocusStreamsCaseStudies,5,60
FocusStreamsCaseStudies,6,41
FocusStreamsCaseStudies,7,24
FocusStreamsCaseStudies,8,23
FocusStreamsCaseStudies,9,18
FocusStreamsCaseStudies,10,12
FocusStreamsCaseStudies,11,8
FocusStreamsCaseStudies,12,9
FocusStreamsCaseStudies,13,5
FocusStreamsCaseStudies,14,5
FocusStreamsCaseStudies,15,4
FocusStreamsCaseStudies,16,2
FocusStreamsCaseStudies,17,2
FocusStreamsCaseStudies,18,2
Forcing,1,2067
Forcing,2,1225
Forcing,3,353
Forcing,4,231
Forcing,5,112
Forcing,6,83
Forcing,7,43
Forcing,8,24
Forcing,9,16
Forcing,10,9
Forcing,11,7
Forcing,12,3
Forcing,13,2
Forcing,14,2
Forcing,15,2
Forcing,16,2
Formal_Puiseux_Series,1,531
Formal_Puiseux_Series,2,345
Formal_Puiseux_Series,3,48
Formal_Puiseux_Series,4,30
Formal_Puiseux_Series,5,16
Formal_Puiseux_Series,6,11
Formal_Puiseux_Series,7,7
Formal_Puiseux_Series,8,7
Formal_Puiseux_Series,9,4
Formal_Puiseux_Series,10,2
Formal_Puiseux_Series,11,2
Formal_SSA,1,4754
Formal_SSA,2,3522
Formal_SSA,3,290
Formal_SSA,4,196
Formal_SSA,5,102
Formal_SSA,6,60
Formal_SSA,7,23
Formal_SSA,8,24
Formal_SSA,9,17
Formal_SSA,10,10
Formal_SSA,11,11
Formal_SSA,12,6
Formal_SSA,13,4
Formal_SSA,14,4
Formal_SSA,15,3
Formula_Derivatives,1,14971
Formula_Derivatives,2,11542
Formula_Derivatives,3,207
Formula_Derivatives,4,152
Formula_Derivatives,5,78
Formula_Derivatives,6,53
Formula_Derivatives,7,28
Formula_Derivatives,8,33
Formula_Derivatives,9,21
Formula_Derivatives,10,18
Formula_Derivatives,11,14
Formula_Derivatives,12,11
Formula_Derivatives,13,10
Formula_Derivatives,14,9
Formula_Derivatives,15,6
Formula_Derivatives,16,6
Formula_Derivatives,17,4
Formula_Derivatives,18,4
Formula_Derivatives,19,2
Formula_Derivatives,20,2
Formula_Derivatives,21,2
Foundation_of_geometry,1,1775
Foundation_of_geometry,2,1225
Foundation_of_geometry,3,46
Foundation_of_geometry,4,31
Foundation_of_geometry,5,16
Foundation_of_geometry,6,11
Foundation_of_geometry,7,5
Foundation_of_geometry,8,2
Foundation_of_geometry,9,2
Foundation_of_geometry,10,2
Foundation_of_geometry,11,2
Fourier,1,295
Fourier,2,171
Fourier,3,36
Fourier,4,22
Fourier,5,13
Fourier,6,9
Fourier,7,7
Fourier,8,4
Fourier,9,3
Fourier,10,3
Fourier,11,2
Free-Boolean-Algebra,1,227
Free-Boolean-Algebra,2,143
Free-Boolean-Algebra,3,7
Free-Boolean-Algebra,4,5
Free-Boolean-Algebra,5,3
Free-Boolean-Algebra,6,3
Free-Boolean-Algebra,7,2
Free-Boolean-Algebra,8,2
Free-Groups,1,182
Free-Groups,2,94
Free-Groups,3,27
Free-Groups,4,20
Free-Groups,5,12
Free-Groups,6,7
Free-Groups,7,5
Free-Groups,8,3
Fresh_Identifiers,1,191
Fresh_Identifiers,2,120
Fresh_Identifiers,3,37
Fresh_Identifiers,4,20
Fresh_Identifiers,5,13
Fresh_Identifiers,6,9
Fresh_Identifiers,7,5
Fresh_Identifiers,8,4
Fresh_Identifiers,9,4
Fresh_Identifiers,10,4
Fresh_Identifiers,11,3
Fresh_Identifiers,12,2
FunWithTilings,1,91
FunWithTilings,2,53
FunWithTilings,3,15
FunWithTilings,4,12
FunWithTilings,5,7
FunWithTilings,6,4
FunWithTilings,7,3
FunWithTilings,8,2
FunWithTilings,9,2
Functional-Automata,1,365
Functional-Automata,2,218
Functional-Automata,3,52
Functional-Automata,4,33
Functional-Automata,5,15
Functional-Automata,6,10
Functional-Automata,7,6
Functional-Automata,8,4
Functional-Automata,9,3
Functional-Automata,10,2
Functional_Ordered_Resolution_Prover,1,2521
Functional_Ordered_Resolution_Prover,2,1804
Functional_Ordered_Resolution_Prover,3,218
Functional_Ordered_Resolution_Prover,4,151
Functional_Ordered_Resolution_Prover,5,103
Functional_Ordered_Resolution_Prover,6,53
Functional_Ordered_Resolution_Prover,7,25
Functional_Ordered_Resolution_Prover,8,19
Functional_Ordered_Resolution_Prover,9,10
Functional_Ordered_Resolution_Prover,10,7
Functional_Ordered_Resolution_Prover,11,4
Functional_Ordered_Resolution_Prover,12,3
Functional_Ordered_Resolution_Prover,13,2
Functional_Ordered_Resolution_Prover,14,2
Functional_Ordered_Resolution_Prover,15,2
Furstenberg_Topology,1,191
Furstenberg_Topology,2,120
Furstenberg_Topology,3,7
Furstenberg_Topology,4,5
Furstenberg_Topology,5,2
Furstenberg_Topology,6,2
GPU_Kernel_PL,1,3038
GPU_Kernel_PL,2,2243
GPU_Kernel_PL,3,43
GPU_Kernel_PL,4,32
GPU_Kernel_PL,5,16
GPU_Kernel_PL,6,12
GPU_Kernel_PL,7,9
GPU_Kernel_PL,8,6
GPU_Kernel_PL,9,5
GPU_Kernel_PL,10,5
GPU_Kernel_PL,11,2
Gabow_SCC,1,1384
Gabow_SCC,2,865
Gabow_SCC,3,143
Gabow_SCC,4,120
Gabow_SCC,5,55
Gabow_SCC,6,38
Gabow_SCC,7,14
Gabow_SCC,8,8
Gabow_SCC,9,7
Gabow_SCC,10,5
Gabow_SCC,11,3
Gabow_SCC,12,2
GaleStewart_Games,1,250
GaleStewart_Games,2,106
GaleStewart_Games,3,37
GaleStewart_Games,4,24
GaleStewart_Games,5,14
GaleStewart_Games,6,11
GaleStewart_Games,7,2
GaleStewart_Games,8,2
Game_Based_Crypto,1,1236
Game_Based_Crypto,2,336
Game_Based_Crypto,3,92
Game_Based_Crypto,4,85
Game_Based_Crypto,5,40
Game_Based_Crypto,6,31
Game_Based_Crypto,7,18
Game_Based_Crypto,8,12
Game_Based_Crypto,9,8
Game_Based_Crypto,10,7
Game_Based_Crypto,11,5
Game_Based_Crypto,12,4
Game_Based_Crypto,13,2
Gauss-Jordan-Elim-Fun,1,52
Gauss-Jordan-Elim-Fun,2,34
Gauss-Jordan-Elim-Fun,3,11
Gauss-Jordan-Elim-Fun,4,7
Gauss-Jordan-Elim-Fun,5,5
Gauss-Jordan-Elim-Fun,6,3
Gauss-Jordan-Elim-Fun,7,2
Gauss_Jordan,1,1063
Gauss_Jordan,2,559
Gauss_Jordan,3,158
Gauss_Jordan,4,106
Gauss_Jordan,5,62
Gauss_Jordan,6,43
Gauss_Jordan,7,26
Gauss_Jordan,8,16
Gauss_Jordan,9,11
Gauss_Jordan,10,9
Gauss_Jordan,11,6
Gauss_Jordan,12,4
Gauss_Jordan,13,3
Gauss_Jordan,14,2
Gauss_Jordan,15,2
Gauss_Jordan,16,2
Gauss_Jordan,17,2
Gauss_Sums,1,262
Gauss_Sums,2,156
Gauss_Sums,3,48
Gauss_Sums,4,31
Gauss_Sums,5,20
Gauss_Sums,6,12
Gauss_Sums,7,9
Gauss_Sums,8,7
Gauss_Sums,9,3
Gauss_Sums,10,2
Gauss_Sums,11,2
Gaussian_Integers,1,581
Gaussian_Integers,2,374
Gaussian_Integers,3,29
Gaussian_Integers,4,19
Gaussian_Integers,5,11
Gaussian_Integers,6,8
Gaussian_Integers,7,4
Gaussian_Integers,8,3
GenClock,1,120
GenClock,2,66
GenClock,3,18
GenClock,4,10
GenClock,5,4
GenClock,6,2
General-Triangle,1,42
General-Triangle,2,28
General-Triangle,3,3
General-Triangle,4,3
General-Triangle,5,2
General-Triangle,6,2
Generalized_Counting_Sort,1,523
Generalized_Counting_Sort,2,330
Generalized_Counting_Sort,3,75
Generalized_Counting_Sort,4,49
Generalized_Counting_Sort,5,28
Generalized_Counting_Sort,6,16
Generalized_Counting_Sort,7,8
Generalized_Counting_Sort,8,4
Generalized_Counting_Sort,9,2
Generic_Deriving,1,11887
Generic_Deriving,2,9409
Generic_Deriving,3,429
Generic_Deriving,4,311
Generic_Deriving,5,184
Generic_Deriving,6,133
Generic_Deriving,7,74
Generic_Deriving,8,67
Generic_Deriving,9,44
Generic_Deriving,10,31
Generic_Deriving,11,9
Generic_Deriving,12,7
Generic_Deriving,13,5
Generic_Deriving,14,4
Generic_Deriving,15,3
Generic_Deriving,16,3
Generic_Deriving,17,2
Generic_Deriving,18,2
Generic_Join,1,1358
Generic_Join,2,852
Generic_Join,3,73
Generic_Join,4,57
Generic_Join,5,40
Generic_Join,6,19
Generic_Join,7,7
Generic_Join,8,5
Generic_Join,9,2
GewirthPGCProof,1,151
GewirthPGCProof,2,109
GewirthPGCProof,3,5
GewirthPGCProof,4,3
Girth_Chromatic,1,208
Girth_Chromatic,2,122
Girth_Chromatic,3,41
Girth_Chromatic,4,26
Girth_Chromatic,5,12
Girth_Chromatic,6,7
Girth_Chromatic,7,5
Girth_Chromatic,8,3
Girth_Chromatic,9,2
GoedelGod,1,50
GoedelGod,2,33
GoedelGod,3,2
GoedelGod,4,2
Goedel_HFSet_Semantic,1,790
Goedel_HFSet_Semantic,2,700
Goedel_HFSet_Semantic,3,10
Goedel_HFSet_Semantic,4,5
Goedel_HFSet_Semantic,5,2
Goedel_HFSet_Semanticless,1,6411
Goedel_HFSet_Semanticless,2,4779
Goedel_HFSet_Semanticless,3,43
Goedel_HFSet_Semanticless,4,35
Goedel_HFSet_Semanticless,5,12
Goedel_HFSet_Semanticless,6,10
Goedel_HFSet_Semanticless,7,5
Goedel_HFSet_Semanticless,8,2
Goedel_Incompleteness,1,941
Goedel_Incompleteness,2,463
Goedel_Incompleteness,3,113
Goedel_Incompleteness,4,76
Goedel_Incompleteness,5,47
Goedel_Incompleteness,6,30
Goedel_Incompleteness,7,15
Goedel_Incompleteness,8,8
Goedel_Incompleteness,9,4
Goedel_Incompleteness,10,3
Goedel_Incompleteness,11,2
Goedel_Incompleteness,12,2
Goodstein_Lambda,1,775
Goodstein_Lambda,2,494
Goodstein_Lambda,3,24
Goodstein_Lambda,4,16
Goodstein_Lambda,5,12
Goodstein_Lambda,6,7
Goodstein_Lambda,7,4
Goodstein_Lambda,8,3
Goodstein_Lambda,9,2
GraphMarkingIBP,1,768
GraphMarkingIBP,2,504
GraphMarkingIBP,3,86
GraphMarkingIBP,4,68
GraphMarkingIBP,5,25
GraphMarkingIBP,6,18
GraphMarkingIBP,7,8
GraphMarkingIBP,8,6
GraphMarkingIBP,9,3
GraphMarkingIBP,10,2
Graph_Saturation,1,1700
Graph_Saturation,2,1165
Graph_Saturation,3,45
Graph_Saturation,4,27
Graph_Saturation,5,16
Graph_Saturation,6,10
Graph_Saturation,7,5
Graph_Saturation,8,5
Graph_Saturation,9,4
Graph_Saturation,10,3
Graph_Saturation,11,2
Graph_Theory,1,2178
Graph_Theory,2,1393
Graph_Theory,3,77
Graph_Theory,4,60
Graph_Theory,5,28
Graph_Theory,6,16
Graph_Theory,7,9
Graph_Theory,8,5
Graph_Theory,9,3
Graph_Theory,10,2
Green,1,852
Green,2,506
Green,3,141
Green,4,106
Green,5,47
Green,6,29
Green,7,13
Green,8,9
Green,9,6
Green,10,5
Green,11,3
Green,12,3
Green,13,2
Green,14,2
Groebner_Bases,1,17386
Groebner_Bases,2,11356
Groebner_Bases,3,489
Groebner_Bases,4,414
Groebner_Bases,5,189
Groebner_Bases,6,139
Groebner_Bases,7,44
Groebner_Bases,8,35
Groebner_Bases,9,20
Groebner_Bases,10,18
Groebner_Bases,11,7
Groebner_Bases,12,5
Groebner_Bases,13,6
Groebner_Bases,14,3
Groebner_Bases,15,2
Groebner_Bases,16,2
Groebner_Bases,17,2
Groebner_Macaulay,1,12040
Groebner_Macaulay,2,7120
Groebner_Macaulay,3,169
Groebner_Macaulay,4,132
Groebner_Macaulay,5,63
Groebner_Macaulay,6,42
Groebner_Macaulay,7,16
Groebner_Macaulay,8,10
Groebner_Macaulay,9,6
Groebner_Macaulay,10,4
Groebner_Macaulay,11,2
Gromov_Hyperbolicity,1,2099
Gromov_Hyperbolicity,2,1405
Gromov_Hyperbolicity,3,190
Gromov_Hyperbolicity,4,98
Gromov_Hyperbolicity,5,56
Gromov_Hyperbolicity,6,37
Gromov_Hyperbolicity,7,19
Gromov_Hyperbolicity,8,15
Gromov_Hyperbolicity,9,9
Gromov_Hyperbolicity,10,6
Gromov_Hyperbolicity,11,5
Gromov_Hyperbolicity,12,4
Gromov_Hyperbolicity,13,3
Grothendieck_Schemes,1,1393
Grothendieck_Schemes,2,896
Grothendieck_Schemes,3,222
Grothendieck_Schemes,4,149
Grothendieck_Schemes,5,73
Grothendieck_Schemes,6,48
Grothendieck_Schemes,7,19
Grothendieck_Schemes,8,12
Grothendieck_Schemes,9,8
Grothendieck_Schemes,10,5
Grothendieck_Schemes,11,4
Grothendieck_Schemes,12,4
Grothendieck_Schemes,13,2
Group-Ring-Module,1,5432
Group-Ring-Module,2,3591
Group-Ring-Module,3,182
Group-Ring-Module,4,114
Group-Ring-Module,5,53
Group-Ring-Module,6,36
Group-Ring-Module,7,18
Group-Ring-Module,8,12
Group-Ring-Module,9,8
Group-Ring-Module,10,5
Group-Ring-Module,11,3
Group-Ring-Module,12,2
HOL-CSP,1,1526
HOL-CSP,2,969
HOL-CSP,3,44
HOL-CSP,4,28
HOL-CSP,5,14
HOL-CSP,6,9
HOL-CSP,7,4
HOL-CSP,8,2
HOL-CSP,9,2
HOL-CSP,10,2
HOL-CSP,11,2
HOLCF-Prelude,1,2981
HOLCF-Prelude,2,2035
HOLCF-Prelude,3,117
HOLCF-Prelude,4,75
HOLCF-Prelude,5,35
HOLCF-Prelude,6,23
HOLCF-Prelude,7,8
HOLCF-Prelude,8,6
HOLCF-Prelude,9,3
HOLCF-Prelude,10,2
HRB-Slicing,1,8500
HRB-Slicing,2,6415
HRB-Slicing,3,156
HRB-Slicing,4,95
HRB-Slicing,5,44
HRB-Slicing,6,33
HRB-Slicing,7,15
HRB-Slicing,8,12
HRB-Slicing,9,9
HRB-Slicing,10,7
HRB-Slicing,11,4
HRB-Slicing,12,3
HRB-Slicing,13,2
HRB-Slicing,14,2
HRB-Slicing,15,2
Hahn_Jordan_Decomposition,1,244
Hahn_Jordan_Decomposition,2,141
Hahn_Jordan_Decomposition,3,38
Hahn_Jordan_Decomposition,4,30
Hahn_Jordan_Decomposition,5,16
Hahn_Jordan_Decomposition,6,12
Hahn_Jordan_Decomposition,7,6
Hahn_Jordan_Decomposition,8,4
Hahn_Jordan_Decomposition,9,4
Hahn_Jordan_Decomposition,10,2
Heard_Of,1,3577
Heard_Of,2,2618
Heard_Of,3,113
Heard_Of,4,79
Heard_Of,5,44
Heard_Of,6,27
Heard_Of,7,15
Heard_Of,8,8
Heard_Of,9,5
Heard_Of,10,4
Heard_Of,11,3
Heard_Of,12,3
Heard_Of,13,3
Heard_Of,14,2
Hello_World,1,60
Hello_World,2,38
Hello_World,3,2
Hello_World,4,3
HereditarilyFinite,1,1016
HereditarilyFinite,2,671
HereditarilyFinite,3,11
HereditarilyFinite,4,5
HereditarilyFinite,5,3
HereditarilyFinite,6,2
Hermite,1,212
Hermite,2,107
Hermite,3,32
Hermite,4,23
Hermite,5,12
Hermite,6,11
Hermite,7,8
Hermite,8,7
Hermite,9,5
Hermite,10,4
Hermite,11,3
Hermite,12,2
Hermite,13,2
Hermite_Lindemann,1,1040
Hermite_Lindemann,2,955
Hermite_Lindemann,3,38
Hermite_Lindemann,4,30
Hermite_Lindemann,5,16
Hermite_Lindemann,6,12
Hermite_Lindemann,7,4
Hermite_Lindemann,8,4
Hermite_Lindemann,9,2
Hermite_Lindemann,10,2
Hermite_Lindemann,11,2
Hermite_Lindemann,12,2
Hidden_Markov_Models,1,1359
Hidden_Markov_Models,2,1059
Hidden_Markov_Models,3,129
Hidden_Markov_Models,4,98
Hidden_Markov_Models,5,55
Hidden_Markov_Models,6,36
Hidden_Markov_Models,7,11
Hidden_Markov_Models,8,8
Hidden_Markov_Models,9,4
Hidden_Markov_Models,10,3
Hidden_Markov_Models,11,2
Higher_Order_Terms,1,3343
Higher_Order_Terms,2,2569
Higher_Order_Terms,3,114
Higher_Order_Terms,4,92
Higher_Order_Terms,5,43
Higher_Order_Terms,6,33
Higher_Order_Terms,7,11
Higher_Order_Terms,8,8
Higher_Order_Terms,9,4
Higher_Order_Terms,10,2
Hoare_Time,1,6059
Hoare_Time,2,4553
Hoare_Time,3,196
Hoare_Time,4,147
Hoare_Time,5,92
Hoare_Time,6,63
Hoare_Time,7,28
Hoare_Time,8,19
Hoare_Time,9,16
Hoare_Time,10,14
Hoare_Time,11,3
Hoare_Time,12,2
Hood_Melville_Queue,1,1328
Hood_Melville_Queue,2,925
Hood_Melville_Queue,3,36
Hood_Melville_Queue,4,24
Hood_Melville_Queue,5,14
Hood_Melville_Queue,6,12
Hood_Melville_Queue,7,7
Hood_Melville_Queue,8,6
Hood_Melville_Queue,9,4
Hood_Melville_Queue,10,4
Hood_Melville_Queue,11,2
Hood_Melville_Queue,12,2
Hood_Melville_Queue,13,2
Hood_Melville_Queue,14,2
HotelKeyCards,1,789
HotelKeyCards,2,333
HotelKeyCards,3,9
HotelKeyCards,4,6
HotelKeyCards,5,3
HotelKeyCards,6,2
Huffman,1,649
Huffman,2,424
Huffman,3,9
Huffman,4,8
Huffman,5,7
Huffman,6,5
Huffman,7,2
Hybrid_Logic,1,1249
Hybrid_Logic,2,867
Hybrid_Logic,3,30
Hybrid_Logic,4,23
Hybrid_Logic,5,13
Hybrid_Logic,6,10
Hybrid_Logic,7,3
Hybrid_Logic,8,3
Hybrid_Logic,9,3
Hybrid_Logic,10,2
Hybrid_Logic,11,2
Hybrid_Multi_Lane_Spatial_Logic,1,1072
Hybrid_Multi_Lane_Spatial_Logic,2,656
Hybrid_Multi_Lane_Spatial_Logic,3,26
Hybrid_Multi_Lane_Spatial_Logic,4,19
Hybrid_Multi_Lane_Spatial_Logic,5,8
Hybrid_Multi_Lane_Spatial_Logic,6,7
Hybrid_Multi_Lane_Spatial_Logic,7,2
Hybrid_Multi_Lane_Spatial_Logic,8,2
Hybrid_Multi_Lane_Spatial_Logic,9,2
Hybrid_Multi_Lane_Spatial_Logic,10,2
Hybrid_Systems_VCs,1,2812
Hybrid_Systems_VCs,2,2108
Hybrid_Systems_VCs,3,157
Hybrid_Systems_VCs,4,98
Hybrid_Systems_VCs,5,56
Hybrid_Systems_VCs,6,38
Hybrid_Systems_VCs,7,19
Hybrid_Systems_VCs,8,10
Hybrid_Systems_VCs,9,7
Hybrid_Systems_VCs,10,4
Hybrid_Systems_VCs,11,3
Hybrid_Systems_VCs,12,2
HyperCTL,1,2141
HyperCTL,2,1433
HyperCTL,3,118
HyperCTL,4,70
HyperCTL,5,46
HyperCTL,6,32
HyperCTL,7,18
HyperCTL,8,10
HyperCTL,9,10
HyperCTL,10,7
HyperCTL,11,4
HyperCTL,12,4
HyperCTL,13,2
IEEE_Floating_Point,1,1555
IEEE_Floating_Point,2,1135
IEEE_Floating_Point,3,42
IEEE_Floating_Point,4,25
IEEE_Floating_Point,5,9
IEEE_Floating_Point,6,7
IEEE_Floating_Point,7,6
IEEE_Floating_Point,8,5
IEEE_Floating_Point,9,3
IEEE_Floating_Point,10,2
IFC_Tracking,1,803
IFC_Tracking,2,513
IFC_Tracking,3,27
IFC_Tracking,4,20
IFC_Tracking,5,8
IFC_Tracking,6,6
IMAP-CRDT,1,594
IMAP-CRDT,2,410
IMAP-CRDT,3,21
IMAP-CRDT,4,15
IMAP-CRDT,5,9
IMAP-CRDT,6,9
IMAP-CRDT,7,4
IMAP-CRDT,8,4
IMAP-CRDT,9,4
IMAP-CRDT,10,4
IMAP-CRDT,11,4
IMAP-CRDT,12,4
IMAP-CRDT,13,4
IMAP-CRDT,14,3
IMO2019,1,140
IMO2019,2,77
IMO2019,3,19
IMO2019,4,13
IMO2019,5,8
IMO2019,6,5
IMO2019,7,5
IMO2019,8,3
IMO2019,9,2
IMP2,1,3217
IMP2,2,2320
IMP2,3,147
IMP2,4,105
IMP2,5,59
IMP2,6,53
IMP2,7,21
IMP2,8,16
IMP2,9,11
IMP2,10,8
IMP2,11,2
IMP2_Binary_Heap,1,139
IMP2_Binary_Heap,2,79
IMP2_Binary_Heap,3,27
IMP2_Binary_Heap,4,22
IMP2_Binary_Heap,5,13
IMP2_Binary_Heap,6,7
IMP2_Binary_Heap,7,3
IMP2_Binary_Heap,8,2
IMP_Compiler,1,1062
IMP_Compiler,2,750
IMP_Compiler,3,24
IMP_Compiler,4,16
IMP_Compiler,5,11
IMP_Compiler,6,8
IMP_Compiler,7,4
IMP_Compiler,8,4
IMP_Compiler,9,3
IMP_Compiler,10,3
IMP_Compiler,11,3
IMP_Compiler,12,2
IP_Addresses,1,7888
IP_Addresses,2,6338
IP_Addresses,3,159
IP_Addresses,4,104
IP_Addresses,5,63
IP_Addresses,6,38
IP_Addresses,7,24
IP_Addresses,8,16
